200 con 1,200 con 2,200 con 4,200 con 6,200 con 8,1000 con 1,1000 con 2,1000 con 4,1000 con 6,1000 con 8, con , con , con , con , con , con , con , con , con , con 
760473,643370,92873,365623,666136,5578504,2891868,1343429,1210984,1500944,53506291,24500765,10853165,11303796,11287757,525138686,216567123,101796274,100324641,96512214
786759,659023,102862,375542,676718,5129053,3251859,1361093,1258705,1564847,52757183,23984721,11714592,10954657,10596098,519014986,216972942,102706175,97521091,96457523
814259,675308,111511,385864,685644,4935871,2631488,1385513,1335724,1637097,53215175,23540398,11571321,10695943,10801776,518168597,214473429,102579490,99111226,90297064
843397,693019,119384,396084,693953,5295591,3011344,1405969,1412683,1706156,52959665,24182165,11571341,11360021,11060364,520603748,220026639,106057129,100262490,99426440
872510,708919,126815,406049,703568,4654511,2396204,1440786,1529749,1779294,52217172,24034328,11547497,10986975,10376957,524149248,223371678,104809375,99930977,96972250
902158,727438,136684,415917,712883,4967387,2757367,1453096,1564195,1850016,53053486,23599913,11577097,10599383,10792082,518688646,222181152,105600823,99376600,95904718
931107,744394,144996,426454,721123,5254544,3103865,1472606,1634841,1931212,52228255,24309805,11546521,11226689,11026460,526243514,213533664,104671719,97700062,95737400
961343,762559,153718,436494,729261,4577164,2475585,1499860,1701002,2015742,52102349,23960983,11505264,10923254,10345408,537292279,215850537,104090850,101115939,96683368
989582,777514,162058,446238,740374,4774878,2867575,1513489,1750097,1094884,52477413,23623921,11517551,11504140,10683608,525288758,216181781,107560925,106132843,96681851
19793,793567,171086,456405,748938,5045208,3247138,1536233,1858073,1157099,52552161,24140463,11548899,11124797,10878072,536956169,216363520,106498482,99226170,96568541
51226,808444,179392,466736,757022,4384137,2648450,1558402,1919397,1238633,52635675,23771497,11577432,10825383,11234318,520564416,214503801,105746568,98849763,94947720
81652,823012,187398,476683,766096,5068095,2994438,1585055,1980927,1324185,52994562,24650921,11602303,13586367,10642029,526974940,216059858,108407573,97687312,96183833
112900,838327,197547,486778,775064,4454570,2363134,1626679,2046429,1393752,51973296,24237932,11636224,12048588,10948381,518967899,219616681,105995628,100203036,96179612
141910,854100,205951,496722,783819,4939186,2718265,1664637,1097719,1471432,52623477,23826051,11642669,10676652,10262933,520492629,213701456,107456938,99590462,95389523
172237,868962,214273,506526,791925,5338473,3068464,1688148,1179717,1545026,52692157,24601110,11731237,11344446,10612031,522498328,213713206,105547338,100180531,96061364
203192,884383,222378,516318,802782,5435919,2513341,1716670,1221948,1612205,53132136,24173361,11860596,10946994,10955071,521861200,216125935,105467692,101433726,95769933
233143,898830,232431,527135,811568,5489884,2849303,1764160,1274482,1683323,52408148,23844408,11887734,10591416,10376123,521080725,211292051,105228525,99696178,91737986
264381,913362,241429,537277,819975,5541527,3477261,1783554,1292743,1751369,52319817,24385851,11895426,11298252,10747659,520825648,222073355,105492155,99953330,97838745
295448,927602,250711,547086,828563,5278830,3163839,1793811,1479168,1809228,52484948,23952413,12022567,11136558,11101884,523146390,218524555,107864593,99656864,95628446
326069,943678,261185,557116,839456,4999120,2676100,1844519,1698975,1868602,52697530,23577276,11032514,10756271,10134857,522639575,216875165,107458595,100414629,96416749
355818,958680,269887,566874,848016,4794260,3081911,1866717,1842553,1930897,52426961,24262154,11089060,11400155,10466013,520299811,211992311,105855932,96781489,96464963
386180,973667,278279,576999,856219,5483143,2511481,1887028,1940764,2009768,52729266,23847181,11152480,11020849,10852262,520956928,212491048,106694679,105100668,95639466
416061,988233,286510,587437,866896,5391656,3008893,1902239,1991797,1080611,52464218,24550428,11204374,10642632,11204813,526219577,217548686,105586022,98994841,96033313
447425,2114,296291,597310,875037,5234775,2552328,1940706,1059527,1168773,53954639,24215609,11270275,11192376,10444742,536445086,212668700,106038614,96696431,92530933
478213,15976,304809,607237,883502,5263685,3073180,1970075,1136537,1246527,52388997,23901746,11310615,10827020,10883388,523509652,216448981,107596378,109694015,946823
508006,29806,313108,617490,893153,4920688,2484092,1993564,1188268,1314712,52330472,24695565,11334858,11451930,11179958,521092287,212050965,105738507,98625042,94939512
536831,44071,323053,627418,902261,5351627,2887284,1023585,1224610,1376185,52956188,24386765,11448234,11052900,10598468,521331661,219478289,105796112,101820728,93357613
565809,57481,336673,637572,910800,4738484,3395719,1045592,1267462,1441184,51853484,23943899,11525216,10662590,10942440,522957433,212402567,106754489,97946725,96053043
597065,71240,345126,647891,919160,5166575,2868733,1082017,1349719,1511739,52664278,24478981,11575895,11241172,11273683,521175213,211303735,107273112,99664359,93471774
626680,85115,355184,657743,930015,4585919,3303582,1109214,1425122,1579176,52783928,23979853,11630201,10785465,10701500,521200931,211554350,105224695,110504941,95965566
