200 con 1,200 con 2,200 con 4,200 con 6,200 con 8,1000 con 1,1000 con 2,1000 con 4,1000 con 6,1000 con 8, con , con , con , con , con , con , con , con , con , con 
1012694,769764,159878,440349,708180,3574101,1981419,1374112,1466991,790944,22300626,11098055,6221534,5542611,5870674,177773354,88778308,46087081,44910000,40047629
38863,783874,168871,449150,715651,3255429,2355972,1075443,1160241,1387839,21854397,11290063,5879238,6008609,5813497,176625691,90226458,46138792,43180627,39594671
63726,797171,176816,458258,722834,2873236,1732377,777917,831428,994420,22502066,11407720,6546981,5452197,5774190,173802942,88993974,46156168,43501151,43304803
90411,810713,184310,467161,732014,3492162,2099283,1480020,1546002,591952,21985715,11536710,6239841,5885615,5706072,174014550,91354595,46355233,43880623,39534796
116159,823806,191628,475877,740015,3104845,1463389,1182292,1234831,1191315,21476865,11664262,5999746,6365805,5658857,173047561,90857472,46578710,46608575,40078516
140013,837279,200559,484882,747468,2716309,1834030,884902,920010,791694,22131458,11880448,5731532,5805247,5603566,173597181,92436500,46746290,43838665,42719373
163925,850614,208925,493897,754578,3334752,2193758,1589348,1641308,1406183,21622698,12142646,6473332,6254675,5542487,173410987,90567342,46975171,43162569,40232639
187575,863989,216866,502628,763741,2954732,1563327,1291867,1353078,1012710,22118490,11596915,6210427,5699028,5495159,173446867,91976525,46227589,46505838,39797835
211439,877047,224596,511287,772555,3580468,1927296,992944,1029747,617507,21584986,11713112,5955048,6224720,5934651,173450726,88838149,49261783,43679068,43351458
235772,890049,233717,520186,780062,3194158,2292916,696470,764384,1241060,22027306,11809994,5699247,5737318,6719540,172662007,89689345,46452638,43978229,39605657
259828,902991,241850,529168,787515,2816725,1663270,1400414,1531880,855486,21463819,11927748,6444986,6199473,6489981,173344338,91230493,46660352,43312416,40003511
283954,916043,249914,537919,797754,3444601,2024719,1101980,1221247,1461179,21894088,12164515,6193036,5642476,6274537,173009497,91729669,46926513,46428962,43094720
307527,929210,259004,546762,805211,3056495,1388365,805010,925789,1084877,22341141,11623797,5955509,6086579,5350198,171874092,92809481,48807972,43811787,39307655
330964,941955,267729,555880,812684,2672404,1763347,1507613,1683224,689857,21821576,12013122,5703026,5665691,5138010,172217580,92636365,46849999,44159870,39772764
354523,954950,279813,564695,820019,3295031,2129896,1210441,1386145,1308848,22274932,11137243,6475837,6098786,4990968,171923361,94736918,46006641,43494608,43566288
378004,967692,291878,573449,830281,2908682,1500902,913937,1072584,911878,21718854,11257417,6235560,5537337,4949163,171573264,89418887,47645514,46706620,40285684
401691,980504,303974,582345,837901,3533982,1861789,1617323,765929,1526100,22153364,11631070,6007921,6120421,4883875,173005181,89207724,48207406,43896691,41918955
425354,993522,315294,591162,845256,3175046,2227370,1318942,1474776,1134231,21588367,11775872,5798169,5549002,5842659,172040563,88847912,46311597,43290420,40183818
449658,7247,326143,599864,852833,2796558,1591050,1021175,1221470,743380,22063938,12182022,6575272,6002817,6102497,171782848,93578324,46475019,46131887,41213280
474210,21086,337675,608673,863049,3416013,1957134,724877,946654,1352718,21544675,11645242,6349546,5425523,5397784,172849071,94048049,46593147,43817790,41270743
497777,33895,348623,617733,873414,3030383,2363065,1427830,1694472,958105,22011321,11770627,6118611,5856653,5306949,171777884,90682725,49562283,43149490,39766115
521270,46926,359893,626367,882078,2660164,1730550,1131346,1395072,1584745,21428979,11894131,5904020,6323689,5248177,172641602,89498552,46721962,45646370,43748189
545851,60221,367909,635167,891822,3286740,2104934,833484,1080006,1187865,21869541,12287038,6677896,5801680,5215043,172160109,89209221,46992383,44571586,39907592
572369,73049,375752,644260,899460,2907839,1470803,1562790,823554,804895,22318853,11404814,6461540,6248636,5148822,172158998,89009907,46120271,43921037,40647493
601310,86796,385048,653187,906980,3531970,1838444,1265929,1523799,1416834,21766729,11670728,6239655,5693865,5089395,172004478,92043917,48883683,43223640,42155750
632157,99734,396277,661986,914185,3146749,2212361,968481,1299347,1024868,22207005,11886445,6015057,6121412,5028224,171816758,88975513,46197884,46568311,39757055
662953,113604,404498,670788,924365,2762611,1583984,1670742,1019700,643067,21615518,12041820,5787087,5572502,4971666,172614635,89188915,46282982,43745485,43321157
693828,126347,412365,680002,931984,3380420,1946516,1373650,735386,1251636,22099574,11313422,6559163,6029564,4919753,172577607,88873273,46483057,44057512,39850013
723981,139816,421316,688821,940141,2997967,2312649,1076403,1430813,861198,21523792,11439552,6334371,5472024,5845634,172512179,92531689,46636993,43358061,40478960
753562,152584,431381,697614,949496,2620914,1672482,780352,1181242,1478056,21978024,11565843,6107639,5918960,5787652,172019617,89450917,48241846,46596197,42037620
