200 con 1,200 con 2,200 con 4,200 con 6,200 con 8,1000 con 1,1000 con 2,1000 con 4,1000 con 6,1000 con 8, con , con , con , con , con , con , con , con , con , con 
762100,259514,297724,267136,237824,5107177,2692542,1611079,1631095,1142190,38805813,17586707,7581760,7817660,7522092,280038314,131265823,52378802,52946478,53557355
85421,319312,351636,319382,308858,5065908,2824340,1750719,1810499,1243364,39234084,17573266,7958073,8474929,7655700,271962403,131059517,51139120,50640152,55017967
173697,382208,403536,377741,385252,4807538,3031332,1790929,1955111,1483719,38799201,17626712,7329233,8404115,8275311,267004667,131345843,50966881,52668699,55045449
247080,448923,468323,431292,447020,5602630,2248274,1879258,1084174,1760680,38708208,17600559,7831934,8044145,7864954,267626035,131009781,50415765,53683541,53426480
322862,522121,560530,497552,513694,5582677,2443264,1923329,1189700,1840144,39043646,17677345,7704375,7766189,8750276,268211678,130910634,52592523,52336849,52746120
394025,594440,663654,573438,590663,5302366,2580741,959759,1500025,2083366,38905785,16697676,8198717,8028814,8303718,267788284,132024174,51400953,53429633,51491833
461762,663612,724780,667352,682019,5080866,2760706,1021634,1674203,1233133,38336435,17421254,7592297,7496394,7818440,270257699,130904982,50275452,52680836,54278904
541812,731994,780003,739490,759065,5019483,2995562,1107718,1777126,1448219,38877890,17411665,8195895,8157095,8206159,268600909,131326639,52257603,52717364,54653100
610491,796654,830415,803210,820130,4943949,2225274,1151366,1927831,1725517,38238337,17538517,7642812,7915108,7892973,268918205,130989465,50677990,53486092,52616292
684278,853501,891968,867242,890516,4690806,2427519,1159650,1121302,1969897,39099322,17606780,7924117,7486572,8185566,269047988,131354347,53126670,53337020,54471034
766904,921838,956288,926297,964913,5478387,2631641,1171310,1208936,1231163,38740093,17608716,7149001,8249325,7084426,266834762,131014819,50659137,52374218,54275885
827292,986667,28194,988566,15407,5071736,2820833,1208486,1370144,1425792,39708503,17726341,7812516,8304707,6951846,268720360,130530387,52449534,53783980,52744553
893604,49410,87140,51505,89002,4957443,3084151,1313832,1467034,1687340,39552760,17856668,8287352,7808074,6881275,268216505,131595856,54382542,53671579,51255242
981747,122946,153203,124734,190919,4686020,2334858,1343918,1593415,1641496,39040694,16998966,7383546,8107944,8596010,269109415,130529824,52940684,52041089,53806071
54230,186505,222737,194282,257833,5595021,2495535,1389783,1776117,1930308,38686038,17171347,7583450,7440197,8191542,267740488,131278057,54008632,52820597,51920614
122444,251224,280459,256361,329031,5399927,2718296,1449757,1945479,1179159,38937644,16976120,7998837,8031577,8044275,266379516,130638824,53802122,52138674,52968657
199583,320271,346385,319184,400514,5227476,2969117,1531747,1144696,1349246,37728441,16919436,7456202,7830148,7352353,266244227,130965349,52115428,52449954,53212699
270337,398294,404309,383243,457329,4953737,2164839,1585866,1288031,1415401,38872354,16217281,7556213,8304077,7946808,268852016,130362330,52964655,53344224,53700868
338071,461623,463225,435227,526717,4874590,2341913,1631913,1351566,1586703,39509702,16745219,7445414,7803814,7696676,267432822,131457213,53842872,54337055,52414894
417101,529593,531147,495339,606031,5719150,2593557,1688234,1447481,1753076,39176589,17161103,7805356,8075689,7924952,267914586,131311976,52062980,50958759,53307731
492587,600076,613356,558515,663695,5598884,2755339,1749031,1578332,1827234,38805166,16631473,8592353,7423910,7569036,268595014,132275440,55328351,52589114,53802500
574123,669134,673498,619976,730802,5432761,2942542,1783509,1711461,2122648,38966028,17051338,7671123,7708512,8133726,267515093,132233549,52970928,53184254,51878667
645843,745407,745592,683881,788494,5053262,3086303,1825081,1831299,1249842,38148904,16621507,7584883,8231126,7285871,268322703,130985496,51511687,52886765,52069645
725768,807107,813093,749150,868415,4666891,2243434,1900121,1958475,1538490,38042867,17018354,8065957,7883761,7992554,268870291,131483704,52115478,54376710,53317916
798884,866243,880979,837417,935753,5403790,2465606,1953358,1132945,1680124,38628216,16412060,7220686,7560034,8221780,265758913,131325110,53589029,53372775,52802295
869570,931103,935583,893663,997094,5208872,2693165,960329,1242465,1898661,38652027,17039541,7694387,7742518,8014483,266937622,131935221,53750437,53811881,52915005
947940,978431,9804,968074,61513,5155159,2839708,994209,1329819,2070940,38906970,16466829,7667426,8040957,7532901,269767781,130904388,50559714,50372390,53347324
23134,64531,72597,32811,124538,4821858,3080277,1075379,1658100,1277105,38128353,16871389,8144503,7033797,8031492,273241064,130676759,52071791,52981711,52367350
116664,146914,131476,102691,191144,5609706,2259695,1425350,1782562,1306092,38656568,17603463,7485805,7368929,7037473,271336133,130185852,52900339,54616468,53794901
192589,235345,202845,171652,252040,5456976,2545545,1488523,1935636,1517000,38402434,16926656,8142675,7867210,7772706,266251467,130328680,52522880,55323452,52930559
